Regione,"Popolazione
residenti","Superficie
km²","Densità
abitanti/km²","Numero
Comuni","Numero
Provincez"
Lombardia,25.30.14,"23.863,10",418,926,12
Lazio,17.16.39,"17.231,72",333,378,5
Campania,15.28.20,"13.670,60",411,550,5
Veneto,18.42.50,"18.345,37",265,563,7
Sicilia,18.04.45,"25.832,55",187,391,9
Emilia-Romagna,11.33.37,"22.444,54",198,330,9
Piemonte,8.49.45,"25.386,70",168,401,8
Puglia,18.45.57,"19.540,52",201,257,6
Toscana,14.46.25,"22.987,44",161,273,10
Calabria,15.30.01,"15.221,61",122,404,5
Sardegna,10.50.44,"24.099,45",66,377,5
Liguria,9.46.15,"5.416,15",280,234,4
Marche,9.21.56,"9.401,18",159,225,5
Abruzzo,5.41.12,"10.831,50",118,305,4
Friuli-Venezia-Giulia,4.29.30,"7.932,48",151,215,4
Trentino-Alto-Adige,2.18.18,"13.604,72",79,282,2
Umbria,872.32.00,"8.464,22",102,92,2
Basilicata,547.10.00,"10.073,11",54,131,2
Molise,298.54.00,"4.460,44",66,136,2
Valle-d-Aosta,125.29.00,"3.260,85",38,74,1
